account,name,link,keywords,language
@tarasovich@tenforward.social,Mercedes Tarasovich,https://tenforward.social/@tarasovich,Medical_Sociology Mental_health Suicide,en
@colleenewynn@sciences.social,Colleen Wynn,https://sciences.social/@colleenewynn,,
@elyas@sciences.social,Elyas Bakhtiari,https://sciences.social/@elyas,medical_sociology demography health,en
@jeffrey_stokes@sciences.social,Jeff Stokes,https://sciences.social/@jeffrey_stokes,Aging,
@SocFocus@FediScience.org,Sociological Focus,https://fediscience.org/@socfocus,,
@raphaelm@social.sciences.re,Raphaël Martin-Melizi,https://social.sciences.re/@raphaelm,Gender Sexuality Digital_studies,fr
@theobourgeron@mastodon.scot,Théo Bourgeron,https://mastodon.scot/@theobourgeron,economic_sociology sociology_of_health,en fr
@jelena3121@mastodon.social,Jelena Brankovic,https://mastodon.social/@jelena3121,Organizations Higher_education,en
@brenchurchill@sciences.social,Brendan Churchill,https://sciences.social/@brenchurchill,Youth Work_&_employment Gender,En
@omarlizardo@sciences.social,Omar Lizardo,https://sciences.social/@omarlizardo,Culture Networks Organization,
@kerstinsailer@sciences.social,Kerstin Sailer,https://sciences.social/@kerstinsailer,Sociology_of_architecture Social_Network_Analysis Organisational_Sociology,en de
@pdbrooker@mastodon.online,Phillip Brooker,https://mastodon.online/@pdbrooker,Ethnomethodology STS Digital_Methods,en
@antoinegaboriau@todon.eu,Antoine Gaboriau,https://todon.eu/@antoinegaboriau,,fr en es
@haphazardsoc@sciences.social,Neal Caren,https://sciences.social/,,en
@sara_geven@c.im,Sara Geven,https://c.im/@sara_geven,,
@mobarak@mstdn.social,mobarak hossain,https://mstdn.social/@mobarak,,
@markgatto@mstdn.social,–,https://mstdn.social/@markgatto,Parents_at_work Masculinities Dystopian_fiction,
@eyalbhaim@tooot.im,Eyal Bar-Haim,https://tooot.im/eyalbhaim,Educational_expansion Stratification Inequality,he
@Justin_Paulson@mastodon.social,Justin Paulson,https://mastodon.social/@Justin_Paulson,Political_Economy Settler_Colonialism Marxism,en es de
@c_j_pascoe@mstdn.social,CJ Pascoe,https://mstdn.social/@c_j_pascoe,inequality youth,en
@amcneely@sciences.social,Andrew McNeely,https://sciences.social/@Amcneely,Religion Race,en
@AbelAussant@sciences.re,Abel Aussant,https://social.sciences.re/@AbelAussant,Education Culture Digital,fr
@lukemartell@social.coop,Luke Martell,https://social.coop/@lukemartell,Alternatives Socialism Globalism,en
@wcarsonbyrd@sciences.social,W. Carson Byrd,https://sciences.social/@wcarsonbyrd,,
@markhenick@mstdn.social,Mark Henick,https://mstdn.social/@markhenick,,
@dgsoziologie@mastodon.social,German Sociological Association (DGS),https://mastodon.social/@dgsoziologie,,de
@AbelAussant@sciences.re,Abel Aussant,https://social.sciences.re/@AbelAussant,Education Culture Digital,fr
@flowe@social.cologne,Florian Weber,https://social.cologne/@flowe,Migration Methods, de
@mathilda@sciences.social,Mathilda Åkerlund,https://sciences.social/@mathilda,far_right discourse social_media,en
@loebbi@fediscience.org,Peter Löbbecke,https://www.researchgate.net/profile/Peter_Loebbecke,internet_communication internet_&_KRITIS_safety Pedagogics,de en
@JPinaSanchez@sciences.social,Jose Pina-Sánchez,https://sciences.social/@JPinaSanchez,Sentencing Disparities Measurement,en
@amandaywise@aus.social,Amanda Wise,https://aus.social/@amandaywise,Social_Inequality,en
@sautier_marie@sciences.re,Marie Sautier,https://social.sciences.re/@sautier_marie,Recruitment_practices Internationalisation_of_academia Academic_mobility,fr en
@SarahQuinn@mastodon.social,Sarah Quinn,https://mastodon.social/@SarahQuinn,,
@gerardomarti@sciences.social,Gerardo Martí,https://sciences.social/@gerardomarti,Race Religion Social_Change,en es
@alex@dair-community.social,Alex Hanna,https://dair-community.social/alex,AI technology social_movements,en us
@ayu@sciences.social,Ang Yu,https://sciences.social/@ayu,,
@WesleyDean@mastodon.online,Wesley Dean,https://mastodon.online/@WesleyDean,Food_access Food_security Taste,en
@katemasonphd@mastodon.social,Kate Mason,https://mastodon.social/@katemasonphd,Gender Health Stratification,en
@zpneal@mastodon.social,zpneal,https://mastodon.social/@zpneal,networks rstats urban,en
@bartram@mastodon.social,David Bartram,https://mastodon.social/@bartram,migration happiness quants,
@d4meyer@sciences.social,Daniel Meyer,https://sciences.social/@d4meyer,,
@meghanetinsley@mastodon.green,Meghan Tinsley,https://mastodon.green/@meghanetinsley,Race ethnicity Memory_Nationalism,en
@femke@mastodonapp.uk,Femke Mulder,https://mastodonapp.uk/@femke,disasters humanitarian ICT4D,en
@mmlarthur@mastodon.social,Dr. Mikaila,https://mstdn.social/@mmlarthur@mastodon.social,,
@jeffsheng@mstdn.social,Jeff Sheng,https://mstdn.social/@jeffsheng,,
@analyticus@mastodon.social,Cees Grootes,https://mastodon.social/@analyticus,,
@bencaudron@mastodon.social,Ben Caudron,https://mastodon.social/@bencaudron,technology discourse depolitization,nl en
@hermwerf@mastodon.social,Herman van de Werfhorst,https://mastodon.social/@hermwerf,Stratification education statistics,en nl
@kimdelaat@c.im,Kim de Laat,https://c.im/@kimdelaat,,
@rlynnphd@sciences.social,Randy Lynn,https://sciences.social/@rlynnphd,,
@landrous@m.cmx.im,十亿光年沉默狗,https://m.cmx.im/@landrous,cultural_sociology economic_sociology intimacy,en zh
@lclandivar@sciences.social,Christin Landivar,https://sciences.social/@lclandivar,,
@rachelfish03@mastodon.sdf.org,Rachel Fish,https://mastodon.sdf.org/@rachelfish03,education disability race,en
@carlnordlund@mastodon.social,Carl,https://mastodon.social/@carlnordlund,Inter-ethnic_relations Network_analysis Economic_globalization,en
@jessicacalarco@mastodon.social,Jess Calarco,https://mastodon.social/@jessicacalarco,education family qualitative_methods,en
@GuzmanCesar9@mastodon.online,César Guzmán-Concha,https://mastodon.online/@GuzmanCesar9,social_movements social_justice Contentious_Politics,en
@anny@todon.eu,Anny N.,https://todon.eu/@anny,,
@jimiadams@sciences.social,jimi adams,https://sciences.social/@jimiadams,Social_Network_Analysis Population_Health diffusion,en
@selbstreferent@chaos.social,Daniel Guagnin,https://chaos.social/@selbstreferent,,de
@guipeti@sciences.social,Guillaume Petit,https://sciences.social/@guipeti,democracy political_participation institutions,fr en
@dass@norden.social,David S,https://social.tchncs.de/@dass@norden.social,Capitalism Transformation Digital_Sociology,de
@Evan_Stewart@sciences.social,Evan Stewart,https://sciences.social/@Evan_Stewart,Political_Sociology Religion Quantitative_Methods,en
@matzbot@social.tchncs.de,Matthias Bottel,https://social.tchncs.de/@matzbot,Technology Innovation Software,de
@olgasara2003@nerdculture.de,Olga Sabido Ramos,https://nerdculture.de/@olgasara2003,Theory Emotions Senses,
@enganhifa@mstdn.social,Juan S. Z,https://mstdn.social/@enganhifa,cultural_change Historico-genetic_Theory cross-cultural_developmental_psychology,
@pedokomparator@mstdn.social,pedokomparator,https://mstdn.social/@pedokomparator,STS dreams,de
@juanjimenez@scholar.social,Juan Jiménez A.,https://scholar.social/@juanjimenez,,
@katyaivanova@c.im,Katya Ivanova,https://c.im/@katyaivanova,Family Family_complexity Intergenerational_solidarity,en
@plouie01@sciences.social,Pat Louie,https://sciences.social/@plouie01,race stress health,
@Giselinde@mstdn.social,Giselinde Kuipers,https://mstdn.social/@Giselinde,,nl
@NoortjeMarres@mstdn.social,NoortjeMarres,https://mstdn.social/@NoortjeMarres,,
@bwsoc@mastodon.social,Basil Wiesse,https://mastodon.social/@bwsoc,,
@HelgeSchwiertz@mstdn.social,Helge Schwiertz,https://mstdn.social/@HelgeSchwiertz,,
@markvicol@mastodon.online,Mark Vicol,https://mastodon.online/@markvicol,,
@brooklynsoc@mastodon.social,Timothy Shortell,https://mastodon.social/@brooklynsoc,,
@victorafonsomarques@mastodon.zaclys.com,Victor Afonso Marques,https://mastodon.zaclys.com/@victorafonsomarques,,
@DirkJacobs@mastodon.online,Dirk Jacobs,https://mastodon.online/@DirkJacobs,,
@drakbailey@mastodon.social,Amy Kate Bailey,https://mastodon.social/@drakbailey,,
@Rense@fediscience.org,Rense Nieuwenhuis,https://fediscience.org/@Rense,,
@emmalbriant@mastodon.online,Emma L Briant,https://mastodon.online/@emmalbriant,,
@RaphaelKohl@social.tchncs.de,Raphael Kohl,https://social.tchncs.de/@RaphaelKohl,,
@lclandivar@sciences.social,Christin Landivar,https://sciences.social/@lclandivar,,
@jncohen@fosstodon.org,jncohen,https://fosstodon.org/@jncohen,,
@didem@mastodon.social,Didem Turkoglu,https://mastodon.social/@didem,,
@CoffeeBaseball@sciences.social,Joanna Pepin,https://sciences.social/@CoffeeBaseball,,
@conradhackett@sciences.social,Conrad Hackett,https://sciences.social/@conradhackett,,
@cameroncampbell@mstdn.social,Cameron Campbell 康文林,https://mstdn.social/@cameroncampbell,,
@mmin@scholar.social,Matti Minkkinen,https://scholar.social/@mmin,,
@erola@fediscience.org,Jani Erola,https://fediscience.org/@erola,,
@KAFuller@mastodon.online,Kat Fuller,https://mastodon.online/@KAFuller,,
@austinkocher@mastodon.social,Austin Kocher,https://mastodon.social/@austinkocher,,
@yana@sciences.social,Yana Kucheva,https://sciences.social/@yana,Housing Environmental_Justice Demography,en
@LarsGertenbach@social.tchncs.de,Lars Gertenbach,https://social.tchncs.de/@LarsGertenbach,,
@kolame@social.tchncs.de,Christoph Peters,https://social.tchncs.de/@kolame,,
@betthaeuser@sciences.social,Bastian Betthaeuser,https://sciences.social/@betthaeuser,,
@leni@todon.eu,Marlen van den Ecker,https://todon.eu/@leni,,
@danielrmorrison@mastodon.social,Daniel R. Morrison,https://mastodon.social/@danielrmorrison,,
@rondinelli@mastodon.social,Elisabeth Rondinelli,https://mastodon.social/@rondinelli,,
@msomashe@mastodon.social,Mahesh Somashekhar,https://mastodon.social/@msomashe,,
@Soc_Jillian@mastodon.social,Jillian Sunderland,https://mastodon.social/@Soc_Jillian,,
@JakeDesRochers@mastodon.social,Jake DesRochers,https://mastodon.social/@JakeDesRochers,,
@tobiasrohl@social.tchncs.de,Tobias Röhl,https://social.tchncs.de/@tobiasrohl,,
@gonzalo_franetovic@mstdn.social,Gonzalo Franetovic,https://mstdn.social/@gonzalo_franetovic,,
@alizaluft@mstdn.social,Aliza Luft,https://mstdn.social/@alizaluft,,
@pamelaoliver@sciences.social,Pamela Oliver,https://sciences.social/@pamelaoliver,Social_Movements Criminal_legal Protest_events,en
@jonathanhorowi1@sciences.social,Jonathan Horowitz,https://sciences.social/@jonathanhorowi1,,
@Misinfo@mastodon.social,Martin Rooke,https://mastodon.social/@Misinfo,,
@dmw@scholar.social,Dana Williams,https://scholar.social/@dmw,Social_movements social_inequality race_&_ethnicity,
@praxishabitus@mstdn.social,Gerardo Martí,https://mstdn.social/@praxishabitus,,
@jonwynn@mastodon.social,Jon Wynn,https://mastodon.social/@jonwynn,,
@heidenernst@climatejustice.social,Mic Ernst-Heidenreich,https://climatejustice.social/@heidenernst,,
@epopp@mastodon.social,Beth Popp Berman,https://mastodon.social/@epopp,,
@jenniferclena@mastodon.online,Jennifer Lena,https://mastodon.online/@jenniferclena,,
@jesshardie@mastodon.social,Jessica Hardie,https://mastodon.social/@jesshardie,,
@therobertm@mstdn.social,Robert Mitchell,https://mstdn.social/@therobertm,,
@delitzheike@mastodon.social,Heike Delitz,https://mastodon.social/@delitzheike,,
@boris_holzer@mastodon.social,Boris Holzer,https://mastodon.social/@boris_holzer,,
@nbariola@mastodon.social,Nino Bariola,https://mastodon.social/@nbariola,,
@andreadlbm@mastodon.online,Andrea Dlbm (Mexican sociologist),https://mastodon.online/@andreadlbm,,
@fetner@mastodon.social,Tina Fetner,https://mastodon.social/@fetner,,
@Daniel_Laurison@mastodon.social,Daniel Laurison,https://mastodon.social/@Daniel_Laurison,,
@deutschmann@nerdculture.de,Emanuel Deutschmann,https://nerdculture.de/@deutschmann,,
@bartbonikowski@mastodon.social,Bart Bonikowski,https://mastodon.social/@bartbonikowski,,
@arliereed@mastodon.social,Cody Arlie Reed,https://mastodon.social/@arliereed,,
@colleenewynn@mastodon.social,Colleen Wynn,https://mastodon.social/@colleenewynn,,
@shiri_noy@mastodon.social,shiri_noy,https://mastodon.social/@shiri_noy,,
@annamueller@mastodon.social,Anna S Mueller,https://mastodon.social/@annamueller,,
@LindaQuirke@mastodon.social,Linda Quirke,https://mastodon.social/@LindaQuirke,,
@gavmaclean@scholar.social,Gav Maclean,https://scholar.social/@gavmaclean,,
@jwyg@post.lurk.org,Jonathan W. Y. Gray,https://post.lurk.org/@jwyg,,
@InclusiveLucie@mstdn.social,Lucie Fremlova,https://mstdn.social/@InclusiveLucie,,
@calebscoville@mastodon.social,Caleb Scoville,https://mastodon.social/@calebscoville,,
@kshafer@mstdn.social,Kevin Shafer,https://mstdn.social/@kshafer,,
@ximex@freiburg.social,Max Bolze,@ximex@freiburg.social,,
@seth_abrutyn@mastodon.sdf.org,Seth Abrutyn,https://mastodon.sdf.org/@seth_abrutyn,,
@PaulWeinheimer@det.social,Paul Weinheimer,https://det.social/@PaulWeinheimer,,
@HannahimWahnsinn@troet.cafe,HannaimWahnsinn,https://mastodon.social/@HannahimWahnsinn@troet.cafe,,
@wechselwirkung@mastodon.social,Anıl Önder,https://mastodon.social/@wechselwirkung,,
@austinkocher@mastodon.social,Austin Kocher,https://mastodon.social/@austinkocher,,
@sebastianschroeder@nrw.social,Sebastian Schröder,https://nrw.social/@sebastianschroeder,,
@KarinScherschel@mastodon.social,Karin Scherschel,https://mastodon.social/@KarinScherschel,,
@allartmarkets@mstdn.social,Liz Mcfall,https://mastodon.social/@allartmarkets@mstdn.social,,
@immersender@mastodon.social,Frank Meier,https://mastodon.social/@immersender,,
@katjamoe@mastodon.social,Katja Möhring,https://mastodon.social/@katjamoe,,
@xlejx_rodsxn@mastodon.social,Aleja Rodríguez Sánchez,https://mastodon.social/@xlejx_rodsxn,,
@Theoriesektion@mastodon.social,Sektion Soziologische Theorie (DGS),https://mastodon.social/@Theoriesektion,,
@akwiho@social.tchncs.de,Arbeitskreis Wisseschaft- und Hochschulforschung,https://social.tchncs.de/@akwiho,,
@AKOrgaBewertung@mastodon.social,Arbeitskreis Orga + Bewertung,https://mastodon.social/@AKOrgaBewertung,,
@AlexanderBrand@troet.cafe,Alexander Brand,https://troet.cafe/@AlexanderBrand,,
@amateur_garde@mastodon.social,Désirée Waibel,https://mastodon.social/@amateur_garde,,
@ANosthoff@mastodon.social,Anna-Verena Nosthoff,https://mastodon.social/@ANosthoff,,
@Bindestriche@social.anoxinon.de,Bindestriche,https://social.anoxinon.de/@Bindestriche,,
@Blaabaek@sciences.social,Ea Hoppe Blaabæk,https://sciences.social/@Blaabaek,Stratification Education Cultural_capital,
@chrishammermann@sciences.social,Chris Hammermann,https://sciences.social/@chrishammermann,security_studies intelligence_studies political_sociology,en de
@DiscourseNet@fediscience.org,DiscourseNet,https://fediscience.org/@DiscourseNet,discourse discourse_studies qualitative_methods,en es de fr
@dustinstoltz@fediscience.org,Dustin Stoltz,https://fediscience.org/@dustinstoltz,cultural_sociology economic_sociology computational_social_science,
@DWitte@mastodon.social,Daniel Witte,https://mastodon.social/@DWitte,,
@empathroet@bildung.social,A. Hofmann,https://bildung.social/@empathroet,,
@florianeyert@mastodon.social,Florian Eyert,https://mastodon.social/@florianeyert,,
@fstengel@mastodon.social,Frank Stengel,https://mastodon.social/@fstengel,,
@hcadenas@mastodon.social,Hugo Cadenas,https://mastodon.social/@hcadenas,,
@hendrikerz@scholar.social,Hendrik Erz,https://scholar.social/@hendrikerz,cultural_sociology computational_social_science analytical_sociology text_analysis nlp,en de
@i_ngli@scholar.social,Ingmar Lippert,https://scholar.social/@i_ngli,,
@janap@mastodon.social,jana,https://mastodon.social/@janap,,
@johsvogel@scholar.social,Johannes S. Vogel,https://scholar.social/@johsvogel,,
@JulianHamann1@sciences.social,Julian Hamann,https://sciences.social/@JulianHamann1,evaluation academia inequality,en de
@julSEU@mastodon.social,Julian Seuring,https://mastodon.social/@julSEU,,
@LarsAlberth@mastodon.social,Lars Alberth,https://mastodon.social/@LarsAlberth,,
@LordElend@fediscience.org,Arne Maibaum,https://fediscience.org/@LordElend,,
@matsommer@mastodon.social ,Matthias Sommer,https://mastodon.social/@matsommer,,
@naomilawsonjacobs@scholar.social,Naomi Lawson Jacobs,https://scholar.social/@naomilawsonjacobs,Disability_Studies Sociology_of_Religion Participatory_Research,
@onlytina@todon.eu,onlytina,https://todon.eu/@onlytina,,
@dwaldecker@fediscience.org,David Waldecker,https://fediscience.org/@dwaldecker,,
@pardoguerra@mastodon.social,JP Pardo-Guerra,https://mastodon.social/@pardoguerra,,
@per@sciences.social,Per Engzell,https://sciences.social/@per,,
@perspektivbrocken@social.tchncs.de,David Adler,https://social.tchncs.de/@perspektivbrocken,architecture capitalism qualitative_methods,de en
@PeterKahlert@digitalcourage.social,Peter Kahlert,https://digitalcourage.social/@PeterKahlert,,
@philipncohen@mastodon.social,Philip N Cohen,https://mastodon.social/@philipncohen,,
@reliablyjeff@sciences.social,Jeff Roberts,https://sciences.social/@reliablyjeff,,en
@RobertSeyfert@mastodon.social,Robert Seyfert,https://mastodon.social/@RobertSeyfert,,
@simonlindgren@sciences.social,Simon Lindgren,https://sciences.social/@simonlindgren,,
@sms2sms@ifwo.eu,Stefan M. Seydel,https://ifwo.eu/@sms2sms,,
@sowa@mastodon.social,Frank Sowa,https://mastodon.social/@sowa,,
@sozialwelten@ifwo.eu,Michael Karbacher,https://ifwo.eu/@sozialwelten@theHaefler@troet.cafe,,
@thorsten_peetz@mastodon.social,Thorsten Peetz,https://mastodon.social/@thorsten_peetz,,
@Weltenkreuzer@social.tchncs.de,Nils Müller,https://social.tchncs.de/@Weltenkreuzer,,
@wolf_witte@ruhr.social,Wolf Witte,https://ruhr.social/@wolf_witte,,
@ybaumy@mk.autonomy.earth,ybaumy,https://mk.autonomy.earth/@ybaumy,,
@zukunftsheld@mastodon.social,Ingmar Mundt,https://mastodon.social/@zukunftsheld,,
@klauspforr@mastodon.social,Klaus Pforr,https://mastodon.social/@klauspforr,,
@thhaase@social.tchncs.de,Thomas Haase,https://social.tchncs.de/@thhaase,,
@karengregory@mastodon.social,Karen Gregory,https://mastodon.social/@karengregory,,
@arko23@mastodon.social,A. Koevel,https://mastodon.social/@arko23,,
@kjhealy@mastodon.social,Kieran Healy,https://mastodon.social/@kjhealy,,
@aoberg@rheinneckar.social,Achim Oberg ,https://rheinneckar.social/@aoberg,,
@janguenth@mastodon.social,Jan* Guenth* von Friedenstab,https://mastodon.social/@janguenth,,
